,Name,Market Cap,Price,Circulating Suppy,Symbol,Volume
0,Bitcoin,"$438,896,650,641.23","$22,777.63","19,268,762",BTC,"$32,442,278,429.47"
1,Ethereum,"$199,116,747,175.27","$1,627.12","122,373,866",ETH,"$8,859,250,310.35"
2,Tether,"$66,499,261,962.96",$1.00,"66,484,835,812",USDT,"$40,470,629,184.14"
3,BNB,"$47,254,381,542.52",$299.26,"157,903,493",BNB,"$755,028,963.51"
4,USD Coin,"$43,349,621,955.77",$0.9998,"43,356,538,353",USDC,"$3,742,948,233.77"
5,XRP,"$20,498,230,600.25",$0.4035,"50,796,877,639",XRP,"$1,037,235,128.52"
6,Binance USD,"$16,210,548,872.77",$0.9996,"16,216,621,567",BUSD,"$11,570,534,938.56"
7,Cardano,"$12,758,076,289.98",$0.369,"34,572,292,078",ADA,"$609,231,749.69"
8,Dogecoin,"$11,245,805,169.51",$0.08476,"132,670,764,300",DOGE,"$716,057,147.51"
9,Solana,"$9,141,811,766.33",$24.63,"371,198,313",SOL,"$1,948,796,869.95"
10,Polygon,"$8,646,770,322.76",$0.99,"8,734,317,475",MATIC,"$532,015,698.73"
11,Polkadot,"$7,244,177,480.91",$6.25,"1,159,178,088",DOT,"$359,248,913.45"
12,Shiba Inu,"$6,540,702,404.42",$0.00001191,"549,063,278,876,302",SHIB,"$498,671,144.42"
13,Litecoin,"$6,368,042,805.54",$88.31,"72,106,304",LTC,"$678,058,076.73"
14,Dai,"$5,861,535,273.31",$0.9992,"5,866,261,052",DAI,"$206,143,731.05"
15,TRON,"$5,670,062,410.77",$0.06173,"91,849,480,314",TRX,"$260,535,017.26"
16,Avalanche,"$5,313,521,648.75",$16.90,"314,475,264",AVAX,"$451,849,941.44"
17,Uniswap,"$5,084,658,196.25",$6.67,"762,209,327",UNI,"$131,144,703.84"
18,Wrapped Bitcoin,"$4,096,758,950.74","$22,722.22","180,298",WBTC,"$204,137,593.61"
19,Cosmos,"$3,751,580,257.35",$13.10,"286,370,297",ATOM,"$233,680,831.09"
